id,filename,kind,variant,format,expected_latex,source,notes,manifest_id
f001,simples_limpa.png,formula,limpa,png,"E=mc^2",codecogs-render,"Equacao de Einstein — caso simples",009
f001d,simples_degradada.jpg,formula,degradada,jpg,"E=mc^2",derivado-local,"Rotacao 2.5deg + reducao 55% + blur + ruido + JPEG q55",010
f002,bhaskara_limpa.png,formula,limpa,png,"x=\frac{-b\pm\sqrt{b^2-4ac}}{2a}",codecogs-render,"Formula de Bhaskara — fracao e raiz",011
f002d,bhaskara_degradada.jpg,formula,degradada,jpg,"x=\frac{-b\pm\sqrt{b^2-4ac}}{2a}",derivado-local,"Mesma degradacao de f001d",012
f003,integral_limpa.png,formula,limpa,png,"\int_0^\infty e^{-x^2}\,dx=\frac{\sqrt{\pi}}{2}",codecogs-render,"Integral gaussiana",013
f003d,integral_degradada.jpg,formula,degradada,jpg,"\int_0^\infty e^{-x^2}\,dx=\frac{\sqrt{\pi}}{2}",derivado-local,"Mesma degradacao de f001d",014
f004,somatorio_limpa.png,formula,limpa,png,"\sum_{n=1}^{\infty}\frac{1}{n^2}=\frac{\pi^2}{6}",codecogs-render,"Problema da Basileia — somatorio",015
f004d,somatorio_degradada.jpg,formula,degradada,jpg,"\sum_{n=1}^{\infty}\frac{1}{n^2}=\frac{\pi^2}{6}",derivado-local,"Mesma degradacao de f001d",016
f005,matriz_limpa.png,formula,limpa,png,"A=\begin{pmatrix}a&b\\c&d\end{pmatrix}",codecogs-render,"Matriz 2x2 — sem operadores no OCR",017
f005d,matriz_degradada.jpg,formula,degradada,jpg,"A=\begin{pmatrix}a&b\\c&d\end{pmatrix}",derivado-local,"Mesma degradacao de f001d",018
f006,maxwell_limpa.png,formula,limpa,png,"\nabla\times\vec{B}=\mu_0\vec{J}+\mu_0\varepsilon_0\frac{\partial\vec{E}}{\partial t}",codecogs-render,"Equacao de Maxwell-Ampere — caso complexo",019
f006d,maxwell_degradada.jpg,formula,degradada,jpg,"\nabla\times\vec{B}=\mu_0\vec{J}+\mu_0\varepsilon_0\frac{\partial\vec{E}}{\partial t}",derivado-local,"Mesma degradacao de f001d",020
f001p,simples_limpa.pdf,formula_pdf,limpa,pdf,"E=mc^2",gerado-local,"Pagina A4 sintetica com paragrafo + formula embutida como imagem",021
f001pd,simples_degradada.pdf,formula_pdf,degradada,pdf,"E=mc^2",gerado-local,"Idem com imagem degradada",022
f002p,bhaskara_limpa.pdf,formula_pdf,limpa,pdf,"x=\frac{-b\pm\sqrt{b^2-4ac}}{2a}",gerado-local,"Pagina A4 sintetica",023
f002pd,bhaskara_degradada.pdf,formula_pdf,degradada,pdf,"x=\frac{-b\pm\sqrt{b^2-4ac}}{2a}",gerado-local,"Idem degradada",024
f003p,integral_limpa.pdf,formula_pdf,limpa,pdf,"\int_0^\infty e^{-x^2}\,dx=\frac{\sqrt{\pi}}{2}",gerado-local,"Pagina A4 sintetica",025
f003pd,integral_degradada.pdf,formula_pdf,degradada,pdf,"\int_0^\infty e^{-x^2}\,dx=\frac{\sqrt{\pi}}{2}",gerado-local,"Idem degradada",026
f004p,somatorio_limpa.pdf,formula_pdf,limpa,pdf,"\sum_{n=1}^{\infty}\frac{1}{n^2}=\frac{\pi^2}{6}",gerado-local,"Pagina A4 sintetica",027
f004pd,somatorio_degradada.pdf,formula_pdf,degradada,pdf,"\sum_{n=1}^{\infty}\frac{1}{n^2}=\frac{\pi^2}{6}",gerado-local,"Idem degradada",028
f005p,matriz_limpa.pdf,formula_pdf,limpa,pdf,"A=\begin{pmatrix}a&b\\c&d\end{pmatrix}",gerado-local,"Pagina A4 sintetica",029
f005pd,matriz_degradada.pdf,formula_pdf,degradada,pdf,"A=\begin{pmatrix}a&b\\c&d\end{pmatrix}",gerado-local,"Idem degradada",030
f006p,maxwell_limpa.pdf,formula_pdf,limpa,pdf,"\nabla\times\vec{B}=\mu_0\vec{J}+\mu_0\varepsilon_0\frac{\partial\vec{E}}{\partial t}",gerado-local,"Pagina A4 sintetica",031
f006pd,maxwell_degradada.pdf,formula_pdf,degradada,pdf,"\nabla\times\vec{B}=\mu_0\vec{J}+\mu_0\varepsilon_0\frac{\partial\vec{E}}{\partial t}",gerado-local,"Idem degradada",032
nf001,texto_paragrafo.png,non_formula,n/a,png,,gerado-local,"Paragrafo de texto renderizado — teste de falso positivo do filtro OCR",033
nf002,diagrama_fluxo.png,non_formula,n/a,png,,gerado-local,"Diagrama Entrada->Processo->Saida — teste de falso positivo",034
nf003,grafico_barras.png,non_formula,n/a,png,,gerado-local,"Grafico de barras 2021-2023 — teste de falso positivo",035
